--------- beginning of main
05-20 13:14:47.502 W/python.stderr( 4471): /data/data/com.operations.rider/files/chaquopy/AssetFinder/requirements/django/conf/__init__.py:289: RemovedInDjango51Warning: The STATICFILES_STORAGE setting is deprecated. Use STORAGES instead.
05-20 13:14:47.706 I/python.stdout( 4471): Operations to perform:
05-20 13:14:47.706 I/python.stdout( 4471):   Apply all migrations: admin, auth, contenttypes, operations, sessions
05-20 13:14:47.733 I/python.stdout( 4471): Running migrations:
05-20 13:14:47.733 I/python.stdout( 4471):   No migrations to apply.
05-20 13:14:47.754 I/python.stdout( 4471):   Your models in app(s): 'operations' have changes that are not yet reflected in a migration, and so won't be applied.
05-20 13:14:47.754 I/python.stdout( 4471):   Run 'manage.py makemigrations' to make new migrations, and then re-run 'manage.py migrate' to apply them.
05-20 13:14:58.097 I/chromium( 4471): [0520/131458.097506:INFO:android_webview/browser/variations/variations_seed_loader.cc:67] Failed to open file for reading.: No such file or directory (2)
05-20 13:14:58.167 W/chromium( 4471): [WARNING:android_webview/browser/network_service/net_helpers.cc:137] HTTP Cache size is: 24155679
05-20 13:14:58.248 W/chromium( 4566): [WARNING:content/app/android/content_main_android.cc:82] android_setCpu already initialized
05-20 13:14:58.266 W/chromium( 4566): [WARNING:content/child/runtime_features.cc:540] Fenced frames cannot be enabled in this configuration. Use --enable-features=FencedFrames instead.
05-20 13:14:58.266 W/chromium( 4566): [WARNING:content/child/runtime_features.cc:565] Topics cannot be enabled in this configuration. Use --enable-features=BrowsingTopics in addition.
05-20 13:14:58.266 W/chromium( 4566): [WARNING:content/child/runtime_features.cc:586] SharedStorage cannot be enabled in this configuration. Use --enable-features=SharedStorageAPI in addition.
05-20 13:14:58.281 I/chromium( 4566): [INFO:third_party/skia/src/ports/SkFontMgr_android_parser.cpp:723] [SkFontMgr Android Parser] '/product/etc/fonts_customization.xml' could not be opened
05-20 13:14:58.281 I/chromium( 4566): 
05-20 13:15:00.137 I/chromium( 4471): [INFO:CONSOLE:0] "Access to fetch at 'https://pythonclusters-208233-0.cloudclusters.net/api/rider/health/' from origin 'http://127.0.0.1:8765' has been blocked by CORS policy: No 'Access-Control-Allow-Origin' header is present on the requested resource.", source:  (0)
05-20 13:15:00.138 I/chromium( 4471): [INFO:CONSOLE:0] "Access to fetch at 'https://pythonclusters-208233-0.cloudclusters.net/api/rider/health/' from origin 'http://127.0.0.1:8765' has been blocked by CORS policy: No 'Access-Control-Allow-Origin' header is present on the requested resource.", source:  (0)
05-20 13:15:00.140 I/chromium( 4471): [INFO:CONSOLE:0] "The FetchEvent for "https://pythonclusters-208233-0.cloudclusters.net/api/rider/health/" resulted in a network error response: the promise was rejected.", source:  (0)
05-20 13:15:00.141 I/chromium( 4471): [INFO:CONSOLE:0] "Uncaught (in promise) TypeError: Failed to convert value to 'Response'.", source: http://127.0.0.1:8765/service-worker.js (0)
05-20 13:15:00.141 I/chromium( 4471): [INFO:CONSOLE:0] "Uncaught (in promise) TypeError: Failed to convert value to 'Response'.", source: http://127.0.0.1:8765/service-worker.js (0)
05-20 13:15:00.141 I/chromium( 4471): [INFO:CONSOLE:0] "The FetchEvent for "https://pythonclusters-208233-0.cloudclusters.net/api/rider/health/" resulted in a network error response: the promise was rejected.", source:  (0)
05-20 13:15:00.141 I/chromium( 4471): [INFO:CONSOLE:0] "Uncaught (in promise) TypeError: Failed to convert value to 'Response'.", source: http://127.0.0.1:8765/service-worker.js (0)
05-20 13:15:00.141 I/chromium( 4471): [INFO:CONSOLE:0] "Uncaught (in promise) TypeError: Failed to convert value to 'Response'.", source: http://127.0.0.1:8765/service-worker.js (0)
05-20 13:15:01.609 W/System.err( 4687): nk.h1: v is cancelling; job=v{Cancelling}@d254da0
05-20 13:15:01.609 W/System.err( 4687): Caused by: java.lang.NullPointerException: null cannot be cast to non-null type androidx.datastore.preferences.core.Preferences
05-20 13:15:01.609 W/System.err( 4687): 	at wf.v3.a(Unknown Source:340)
05-20 13:15:01.609 W/System.err( 4687): 	at l5.l.invoke(Unknown Source:72)
05-20 13:15:01.609 W/System.err( 4687): 	at g1.c.a(Unknown Source:45)
05-20 13:15:01.609 W/System.err( 4687): 	at g1.c.invoke(SourceFile:1)
05-20 13:15:01.609 W/System.err( 4687): 	at androidx.compose.runtime.c.b(Unknown Source:151)
05-20 13:15:01.609 W/System.err( 4687): 	at l5.m.invoke(Unknown Source:90)
05-20 13:15:01.609 W/System.err( 4687): 	at g1.c.a(Unknown Source:45)
05-20 13:15:01.609 W/System.err( 4687): 	at g1.c.invoke(SourceFile:1)
05-20 13:15:01.609 W/System.err( 4687): 	at androidx.compose.foundation.lazy.layout.j1.invoke(Unknown Source:113)
05-20 13:15:01.609 W/System.err( 4687): 	at g1.c.a(Unknown Source:45)
05-20 13:15:01.609 W/System.err( 4687): 	at g1.c.invoke(SourceFile:1)
05-20 13:15:01.609 W/System.err( 4687): 	at androidx.compose.runtime.c.b(Unknown Source:151)
05-20 13:15:01.609 W/System.err( 4687): 	at z4.f.a(Unknown Source:113)
05-20 13:15:01.609 W/System.err( 4687): 	at androidx.compose.foundation.lazy.layout.i0.invoke(Unknown Source:111)
05-20 13:15:01.609 W/System.err( 4687): 	at g1.c.a(Unknown Source:45)
05-20 13:15:01.609 W/System.err( 4687): 	at g1.c.invoke(SourceFile:1)
05-20 13:15:01.609 W/System.err( 4687): 	at androidx.compose.runtime.c.b(Unknown Source:151)
05-20 13:15:01.609 W/System.err( 4687): 	at v5.o.n(Unknown Source:83)
05-20 13:15:01.609 W/System.err( 4687): 	at ol.i.invoke(Unknown Source:55)
05-20 13:15:01.609 W/System.err( 4687): 	at g1.c.a(Unknown Source:45)
05-20 13:15:01.609 W/System.err( 4687): 	at g1.c.invoke(SourceFile:1)
05-20 13:15:01.609 W/System.err( 4687): 	at androidx.compose.runtime.c.a(Unknown Source:240)
05-20 13:15:01.609 W/System.err( 4687): 	at v5.l.invoke(Unknown Source:354)
05-20 13:15:01.609 W/System.err( 4687): 	at g1.c.a(Unknown Source:45)
05-20 13:15:01.609 W/System.err( 4687): 	at g1.b.invoke(Unknown Source:46)
05-20 13:15:01.609 W/System.err( 4687): 	at androidx.compose.runtime.r.D(Unknown Source:568)
05-20 13:15:01.609 W/System.err( 4687): 	at androidx.compose.runtime.r.L(Unknown Source:145)
05-20 13:15:01.609 W/System.err( 4687): 	at androidx.compose.runtime.r.n(Unknown Source:118)
05-20 13:15:01.609 W/System.err( 4687): 	at androidx.compose.runtime.r.B(Unknown Source:30)
05-20 13:15:01.609 W/System.err( 4687): 	at androidx.compose.runtime.x.v(Unknown Source:19)
05-20 13:15:01.609 W/System.err( 4687): 	at androidx.compose.runtime.x1.q(Unknown Source:103)
05-20 13:15:01.609 W/System.err( 4687): 	at androidx.compose.runtime.v1.invoke(Unknown Source:529)
05-20 13:15:01.609 W/System.err( 4687): 	at androidx.compose.runtime.f.c(Unknown Source:38)
05-20 13:15:01.609 W/System.err( 4687): 	at z5.j.c(Unknown Source:18)
05-20 13:15:01.609 W/System.err( 4687): 	at z5.h.invokeSuspend(Unknown Source:86)
05-20 13:15:01.609 W/System.err( 4687): 	at vh.a.resumeWith(Unknown Source:7)
05-20 13:15:01.609 W/System.err( 4687): 	at nk.k0.run(Unknown Source:112)
05-20 13:15:01.609 W/System.err( 4687): 	at com.google.common.util.concurrent.h.run(Unknown Source:178)
05-20 13:15:01.609 W/System.err( 4687): 	at uk.i.run(Unknown Source:2)
05-20 13:15:01.609 W/System.err( 4687): 	at uk.a.run(Unknown Source:95)
05-20 13:15:02.113 W/System.err( 4687): nk.h1: v is cancelling; job=v{Cancelling}@33304da
05-20 13:15:02.114 W/System.err( 4687): Caused by: java.lang.NullPointerException: null cannot be cast to non-null type androidx.datastore.preferences.core.Preferences
05-20 13:15:02.114 W/System.err( 4687): 	at wf.r1.invoke(Unknown Source:162)
