# Province	District	Lab / hospital site (kind=lab in import)
Harare	Harare	Beatrice Infectious - 100050 - Hospital
Mashonaland Central	Bindura	Bindura - 100070 - Provincial Hospital
Mashonaland West	Makonde	Chinhoyi  - 100235 - Provincial Hospital
Matabeleland South	Gwanda	Gwanda  - 100561 - Provincial Hospital
Midlands	Gweru	Gweru  - 100572 - Provincial Hospital
Mashonaland West	Kadoma	Kadoma - 100681 - District Hosp
Mashonaland East	Marondera	Marondera  - 100903 - Provincial Hospital
Masvingo	Masvingo	Masvingo - 100937 - General Hospital
Bulawayo	Bulawayo	Mpilo - 101041 - Central Hospital
Manicaland	Mutare	Mutare - 101165 - Provincial Hospital
Harare	Harare	National Reference Laboratory - 101206 - Laboratory
Matabeleland North	Lupane	St. Lukes - 101645 - Mission Hospital
Bulawayo	Bulawayo	United Bulawayo Hospital - 101723 - Central Hospital
Matabeleland North	Hwange	Victoria Falls - 101739 - District Hospital
