# Hub sites: province, district, facility name (tab-separated). Imported with --facility-kind hub.
Mashonaland East	UMP	Mutawatawa District Hospital
Manicaland	Chimanimani	Mutambara Mission Hospital
Manicaland	Nyanga	Nyanga District Hospital
Mashonaland Central	Centenary	St. Albert's Mission Hospital
Mashonaland Central	Rushinga	Chimhanda District Hospital
Mashonaland Central	Mbire	Chitsungo Mission Hospital
Mashonaland Central	Shamva	Shamva District Hospital
Mashonaland East	Chikomba	Chivhu General Hospital
Mashonaland East	Chikomba	Sadza District Hospital
Mashonaland East	Hwedza	Mt St Mary's Mission Hospital
Mashonaland East	Mudzi	Kotwa District Hospital
Mashonaland East	Mutoko	Mutoko District Hospital
Mashonaland East	Seke	Epworth Polyclinic
Mashonaland West	Mhondoro	St. Michaels Mission Hospital
Mashonaland West	Kariba	Kariba District Hospital
Masvingo	Bikita	Silveira Mission Hospital
Matabeleland North	Binga	Binga District Hospital
Matabeleland South	Mangwe	Plumtree District Hospital
Midlands	Chirumhanzu	Mvuma District Hospital
Midlands	Chirumhanzu	St Theresa Hospital
Midlands	Gokwe North	Gokwe North District Hospital
Midlands	Shurugwi	Shurugwi District Hospital
Midlands	Zvishavane	Zvishavane District Hospital
Matabeleland North	Hwange	Victoria Falls Hospital
